Year,Age group,Health spending per capita ($),Income per capita ($),% Income Health Spending
2002,25 to 34,3826.4118999999996,50708.5203,7.5458953985687485
2002,35 to 44,4863.5725,64800.7368,7.50542777779033
2002,45 to 54,7159.540099999999,70350.4896,10.176958455737598
2002,55 to 64,10876.935699999998,62009.103899999995,17.540869027136512
2002,65 to 74,14701.540699999998,38861.6748,37.83043519266956
2002,75+,25259.65893333333,30966.012,81.57220546621673
2003,25 to 34,4023.9663,50729.7452,7.932163436137267
2003,35 to 44,5077.9913,63924.93039999999,7.9436790438805085
2003,45 to 54,7546.8189999999995,69312.7037,10.888074764280187
2003,55 to 64,11368.412499999999,64198.6199,17.708188303281577
2003,65 to 74,15381.5374,41882.3132,36.725615718856716
2003,75+,26015.34466666666,30665.5121,84.83583962932308
2004,25 to 34,4165.506799999999,49169.1565,8.471788203240784
2004,35 to 44,5177.973099999999,65291.1437,7.930590286167708
2004,45 to 54,7761.840099999999,69233.3896,11.211122472616882
2004,55 to 64,11683.415399999998,62713.994,18.62967840957474
2004,65 to 74,15960.949999999999,42415.1699,37.630286611206046
2004,75+,26607.204799999996,30645.4043,86.82282191330071
2005,25 to 34,4275.7276999999995,48977.0153,8.730069959979778
2005,35 to 44,5232.7824,64670.0361,8.091509941185885
2005,45 to 54,7873.265599999999,70941.43549999999,11.098260902825965
2005,55 to 64,11866.514599999999,64214.2593,18.479563152105065
2005,65 to 74,16301.249499999998,43989.1638,37.05742071869072
2005,75+,26966.57713333333,31925.6009,84.46693679408028
2006,25 to 34,4423.893499999999,51120.7302,8.653815160097222
2006,35 to 44,5347.2194,67705.1968,7.897797588264302
2006,45 to 54,8031.0682,71321.2495,11.260414331355761
2006,55 to 64,12214.644,64963.8334,18.80222172972939
2006,65 to 74,16423.516399999997,42979.3054,38.21261476226649
2006,75+,27077.400333333335,33060.5745,81.90238900214311
2007,25 to 34,4606.3904,51143.0722,9.00687072920895
2007,35 to 44,5502.010499999999,66126.7345,8.320402544601684
2007,45 to 54,8082.2636999999995,68989.8618,11.715146963810847
2007,55 to 64,12264.6349,64398.580799999996,19.044883827626215
2007,65 to 74,16387.9807,45820.0907,35.76592811065736
2007,75+,27374.535,33265.0038,82.29229482306567
2008,25 to 34,4677.461799999999,48664.2273,9.611704653533048
2008,35 to 44,5598.378499999999,63976.316999999995,8.750704577132815
2008,45 to 54,8105.151099999999,66736.67109999999,12.144973620058193
2008,55 to 64,12397.140899999999,62479.403,19.841964399051633
2008,65 to 74,16493.9855,44813.5836,36.8057722123343
2008,75+,27741.13493333333,32844.9742,84.46082120330402
2009,25 to 34,4832.8552,48112.3799,10.044930660351724
2009,35 to 44,5793.5237,63855.6702,9.072841427948868
2009,45 to 54,8273.192799999999,66605.9704,12.421097914069275
2009,55 to 64,12683.8357,62406.7915,20.324447700535924
2009,65 to 74,16809.5907,45970.8992,36.56572090719513
2009,75+,28443.818266666665,33228.1395,85.6015976057482
2010,25 to 34,4928.018599999999,46752.8692,10.540569347559956
2010,35 to 44,5908.563,63012.25970000001,9.376846709085724
2010,45 to 54,8329.206699999999,65264.3333,12.762264285629342
2010,55 to 64,12713.348399999999,61888.45710000001,20.542357970659438
2010,65 to 74,16784.896399999998,46785.2651,35.87645888961736
2010,75+,28480.357799999998,32126.678899999995,88.65017728303066
2011,25 to 34,4999.6923,46933.8394,10.652638616221967
2011,35 to 44,5986.861999999999,62781.02,9.536101834599055
2011,45 to 54,8352.696399999999,65930.1249,12.669013463373554
2011,55 to 64,12613.366599999998,62945.2337,20.038636539369936
2011,65 to 74,16621.070799999998,46797.5532,35.51696544681741
2011,75+,28032.648133333332,32748.903599999998,85.59873782563314
2012,25 to 34,5109.913199999999,47344.932199999996,10.792946494070593
2012,35 to 44,6103.1059,63299.3544,9.641655839700002
2012,45 to 54,8453.280499999999,65531.3202,12.899603539499575
2012,55 to 64,12789.840499999998,62601.166900000004,20.430674272303378
2012,65 to 74,16269.327599999999,47525.902400000006,34.232548522845086
2012,75+,27646.774599999993,33383.4164,82.81589358241955
2013,25 to 34,5121.3569,47638.11304467894,10.750545251859094
2013,35 to 44,6107.9243,63000.45713687774,9.695047587876445
2013,45 to 54,8450.269,67098.28507595806,12.593867325273578
2013,55 to 64,12819.9555,63424.40850751744,20.21296816426834
2013,65 to 74,15997.690299999998,49449.1161943255,32.35182250200824
2013,75+,27175.775999999998,35299.96757596855,76.98527184625709
2014,25 to 34,5235.191599999999,48332.448599999996,10.831629167656114
2014,35 to 44,6235.6119,64758.287,9.62905627815634
2014,45 to 54,8612.89,68090.5963,12.649162245624215
2014,55 to 64,13102.4342,61211.4945,21.405185916511154
2014,65 to 74,16236.201099999998,49729.9407,32.64874413976528
2014,75+,27348.836866666665,36343.7314,75.25049248703908
2015,25 to 34,5444.7919999999995,51741.8378,10.522996923777606
2015,35 to 44,6467.4974,67210.3215,9.622774085376157
2015,45 to 54,8936.927399999999,70388.471,12.696578392788213
2015,55 to 64,13636.674299999999,63893.651600000005,21.34276873917157
2015,65 to 74,16700.574399999998,51119.6131,32.66960250135382
2015,75+,27982.857999999997,36822.9673,75.99294693450737
2016,25 to 34,5612.2314,51654.704,10.864898964477659
2016,35 to 44,6677.0978,70101.3763,9.524916845320195
2016,45 to 54,9199.530199999997,73038.2322,12.595499538938729
2016,55 to 64,14034.192299999999,66860.6692,20.99020615246848
2016,65 to 74,16964.3818,52511.5197,32.30601951137209
2016,75+,28410.490999999998,37690.954,75.37747916913963
